actor_loss,frame,step,total_time
5.163450717926025,0,0.0,1.2186977863311768
2.690016489217777,100,100.0,2.5707640647888184
0.2588143401806898,200,200.0,4.044259071350098
0.15085154261882647,300,300.0,5.23521089553833
0.094075504865608,400,400.0,6.4205238819122314
0.05290264000950178,500,500.0,8.545681238174438
0.004176119169552285,600,600.0,9.934173583984375
-0.015817151409527747,700,700.0,11.921233177185059
-0.0734138681442652,800,800.0,13.765071630477905
-0.08952241257699851,900,900.0,15.583595037460327
-0.11363665220595084,1000,1000.0,18.914925575256348
-0.13957345378723476,1100,1100.0,20.799773454666138
-0.15676400111527136,1200,1200.0,22.77557396888733
-0.16251608248025473,1300,1300.0,24.22423481941223
-0.18132128044594042,1400,1400.0,25.64745807647705
-0.21024518076441076,1500,1500.0,28.44376015663147
-0.2149426075122734,1600,1600.0,30.103923797607422
-0.24395640371459545,1700,1700.0,32.16915845870972
-0.23729536927646339,1800,1800.0,33.89741826057434
-0.24353564818306725,1900,1900.0,35.376240491867065
-0.2730805723383875,2000,2000.0,38.0117621421814
-0.28161314483916405,2100,2100.0,39.572227239608765
-0.28539450466632843,2200,2200.0,41.10127401351929
-0.29697593692505714,2300,2300.0,42.683687925338745
-0.31728673718943456,2400,2400.0,44.59481072425842
-0.3049042810602943,2500,2500.0,47.8390839099884
-0.32051493271742715,2600,2600.0,50.664710521698
-0.2888767762054311,2700,2700.0,53.38951849937439
-0.30263743188121534,2800,2800.0,55.564170360565186
-0.3256229646135085,2900,2900.0,57.80876398086548
-0.31561489801595705,3000,3000.0,61.19457292556763
-0.34722020513940566,3100,3100.0,62.80479979515076
-0.35295451897205693,3200,3200.0,65.3912525177002
-0.35552174988949653,3300,3300.0,67.91721820831299
-0.3554431698699989,3400,3400.0,70.44639420509338
-0.34245319258753615,3500,3500.0,73.68208575248718
-0.36579022490152036,3600,3600.0,75.28736853599548
-0.37535703742858206,3700,3700.0,77.92687726020813
-0.3516551322571122,3800,3800.0,80.41511154174805
-0.3524331723404403,3900,3900.0,82.75416564941406
-0.36112548912515735,4000,4000.0,86.30298900604248
-0.35824356512120453,4100,4100.0,88.17039060592651
-0.36893109873969954,4200,4200.0,89.92337107658386
-0.37655885473336326,4300,4300.0,91.63838386535645
-0.3509708418704496,4400,4400.0,93.29224252700806
-0.35143427159821633,4500,4500.0,96.04160523414612
-0.3561135593912389,4600,4600.0,97.63960480690002
-0.3568689964047753,4700,4700.0,99.26144790649414
-0.3933224365262702,4800,4800.0,100.99567294120789
-0.39019670138264645,4900,4900.0,102.83960485458374
-0.37026182200649,5000,5000.0,106.70173001289368
-0.39408413933055236,5100,5100.0,108.50450611114502
-0.4016198725393503,5200,5200.0,110.63638758659363
-0.38097814625442616,5300,5300.0,112.61952638626099
-0.3858097676593478,5400,5400.0,114.71620297431946
-0.39552867884683135,5500,5500.0,117.96468234062195
-0.4037650525569916,5600,5600.0,119.84088969230652
-0.4056666664557882,5700,5700.0,121.81131529808044
-0.3910110111873929,5800,5800.0,124.95367908477783
-0.40083833879763536,5900,5900.0,127.64005494117737
-0.39042864607112243,6000,6000.0,132.3363392353058
