actor_loss,frame,step,total_time
5.163450717926025,0,0.0,2.5298609733581543
2.690016489217777,100,100.0,3.774402618408203
0.2588143401806898,200,200.0,5.218660116195679
0.15085154261882647,300,300.0,6.788564920425415
0.094075504865608,400,400.0,8.319934129714966
0.05290264000950178,500,500.0,12.047771453857422
0.004176119169552285,600,600.0,13.700950145721436
-0.015817151409527747,700,700.0,15.433459758758545
-0.0734138681442652,800,800.0,17.228767156600952
-0.08952241257699851,900,900.0,18.989869832992554
